ANGULO,incertidumbre,M1,M2,M3,Promedio de conteos,,,,,,,,,
20,0.5,63,65,64,64,,,,,,,,Tiempo,6s
21,0.5,76,64,76,72,,,,,,,,Voltaje ,500 V
22,0.5,95,81,89,88.33333333,,,,,,,,,
23,0.5,74,83,67,74.66666667,,,,,,,,,
24,0.5,97,75,80,84,,,,,,,,,
25,0.5,85,77,82,81.33333333,,,,,,,,,
26,0.5,82,82,88,84,,,,,,,,,
27,0.5,88,86,77,83.66666667,,,,,,,,,
28,0.5,97,99,81,92.33333333,,,,,,,,,
29,0.5,74,88,87,83,,,,,,,,,
30,0.5,99,94,99,97.33333333,,,,,,,,,
31,0.5,154,156,147,152.3333333,,,,,,,,,
32,0.5,154,165,169,162.6666667,,,,,,,,,
33,0.5,149,171,161,160.3333333,,,,,,,,,
34,0.5,251,250,259,253.3333333,,,,,,,,,
35,0.5,285,317,280,294,,,,,,,,,
36,0.5,228,247,257,244,,,,,,,,,
37,0.5,197,210,207,204.6666667,,,,,,,,,
38,0.5,183,187,157,175.6666667,,,,,,,,,
39,0.5,168,158,147,157.6666667,,,,,,,,,
40,0.5,133,128,141,134,,,,,,,,,
41,0.5,108,134,125,122.3333333,,,,,,,,,
42,0.5,107,97,102,102,,,,,,,,,
43,0.5,80,95,113,96,,,,,,,,,
44,0.5,81,78,88,82.33333333,,,,,,,,,
45,0.5,85,69,79,77.66666667,,,,,,,,,
46,0.5,79,96,81,85.33333333,,,,,,,,,
47,0.5,95,74,101,90,,,,,,,,,
48,0.5,73,90,92,85,,,,,,,,,
49,0.5,81,73,85,79.66666667,,,,,,,,,
50,0.5,88,85,98,90.33333333,,,,,,,,,
51,0.5,76,80,83,79.66666667,,,,,,,,,
52,0.5,79,95,76,83.33333333,,,,,,,,,
53,0.5,74,84,66,74.66666667,,,,,,,,,
54,0.5,90,95,70,85,,,,,,,,,
55,0.5,89,89,97,91.66666667,,,,,,,,,
56,0.5,94,78,81,84.33333333,,,,,,,,,
57,0.5,81,89,81,83.66666667,,,,,,,,,
58,0.5,110,101,117,109.3333333,,,,,,,,,
59,0.5,111,104,102,105.6666667,,,,,,,,,
60,0.5,89,115,104,102.6666667,,,,,,,,,
61,0.5,107,93,115,105,,,,,,,,,
62,0.5,98,104,102,101.3333333,,,,,,,,,
63,0.5,98,91,86,91.66666667,,,,,,,,,
64,0.5,104,110,112,108.6666667,,,,,,,,,
65,0.5,99,111,111,107,,,,,,,,,
66,0.5,137,153,140,143.3333333,,,,,,,,,
67,0.5,122,105,139,122,,,,,,,,,
68,0.5,117,120,121,119.3333333,,,,,,,,,
69,0.5,120,121,118,119.6666667,,,,,,,,,
70,0.5,121,109,117,115.6666667,,,,,,,,,
71,0.5,103,112,98,104.3333333,,,,,,,,,
72,0.5,122,135,133,130,,,,,,,,,
73,0.5,112,122,138,124,,,,,,,,,
74,0.5,119,109,120,116,,,,,,,,,
75,0.5,121,117,112,116.6666667,,,,,,,,,
76,0.5,123,126,132,127,,,,,,,,,
77,0.5,129,119,130,126,,,,,,,,,
78,0.5,116,136,111,121,,,,,,,,,
79,0.5,105,114,133,117.3333333,,,,,,,,,
80,0.5,126,114,122,120.6666667,,,,,,,,,
81,0.5,103,107,124,111.3333333,,,,,,,,,
82,0.5,130,127,139,132,,,,,,,,,
83,0.5,137,127,140,134.6666667,,,,,,,,,
84,0.5,142,148,142,144,,,,,,,,,
85,0.5,155,139,148,147.3333333,,,,,,,,,
86,0.5,142,145,140,142.3333333,,,,,,,,,
87,0.5,132,140,132,134.6666667,,,,,,,,,
88,0.5,140,139,152,143.6666667,,,,,,,,,
89,0.5,130,149,125,134.6666667,,,,,,,,,
90,0.5,138,149,139,142,,,,,,,,,
91,0.5,132,176,154,154,,,,,,,,,
92,0.5,143,129,157,143,,,,,,,,,
93,0.5,146,138,125,136.3333333,,,,,,,,,
94,0.5,139,162,148,149.6666667,,,,,,,,,
95,0.5,152,171,144,155.6666667,,,,,,,,,
96,0.5,145,157,154,152,,,,,,,,,
97,0.5,148,141,142,143.6666667,,,,,,,,,
98,0.5,167,128,171,155.3333333,,,,,,,,,
99,0.5,159,154,173,162,,,,,,,,,
100,0.5,151,148,146,148.3333333,,,,,,,,,
101,0.5,160,160,151,157,,,,,,,,,
102,0.5,136,143,144,141,,,,,,,,,
103,0.5,158,179,167,168,,,,,,,,,
104,0.5,163,153,157,157.6666667,,,,,,,,,
105,0.5,168,150,164,160.6666667,,,,,,,,,
106,0.5,149,152,139,146.6666667,,,,,,,,,
107,0.5,168,145,143,152,,,,,,,,,
108,0.5,147,166,165,159.3333333,,,,,,,,,
109,0.5,163,142,166,157,,,,,,,,,
110,0.5,147,177,152,158.6666667,,,,,,,,,
111,0.5,171,149,145,155,,,,,,,,,
112,0.5,158,191,173,174,,,,,,,,,
113,0.5,153,153,177,161,,,,,,,,,
114,0.5,154,152,160,155.3333333,,,,,,,,,
115,0.5,176,162,164,167.3333333,,,,,,,,,
116,0.5,185,140,167,164,,,,,,,,,
117,0.5,179,169,173,173.6666667,,,,,,,,,
118,0.5,189,165,175,176.3333333,,,,,,,,,
119,0.5,190,180,181,183.6666667,,,,,,,,,
120,0.5,176,196,183,185,,,,,,,,,
