ANGULO,incertidumbre,M1,M2,M3,CPUT,,
20,0.5,69,65,56,63.33333333,,
21,0.5,57,69,66,64,,
22,0.5,60,61,58,59.66666667,,
23,0.5,61,59,70,63.33333333,,
24,0.5,56,64,59,59.66666667,,
25,0.5,79,64,76,73,,
26,0.5,75,80,79,78,,
27,0.5,86,95,89,90,,
28,0.5,117,111,112,113.3333333,,
29,0.5,145,127,144,138.6666667,,
30,0.5,198,172,178,182.6666667,,
31,0.5,296,330,311,312.3333333,,
32,0.5,382,406,386,391.3333333,,
33,0.5,522,566,523,537,,
34,0.5,537,525,544,535.3333333,,
35,0.5,502,523,517,514,,
36,0.5,381,410,390,393.6666667,,
37,0.5,292,305,301,299.3333333,,
38,0.5,254,232,218,234.6666667,,
39,0.5,191,197,193,193.6666667,,
40,0.5,178,161,172,170.3333333,,
41,0.5,113,120,132,121.6666667,,
42,0.5,90,92,111,97.66666667,,
43,0.5,83,79,90,84,,
44,0.5,74,93,82,83,,
45,0.5,83,75,73,77,,
46,0.5,91,78,81,83.33333333,,
47,0.5,78,81,67,75.33333333,,
48,0.5,75,72,76,74.33333333,,
49,0.5,83,80,82,81.66666667,,
50,0.5,84,91,92,89,,
51,0.5,95,85,83,87.66666667,,
52,0.5,85,75,79,79.66666667,,
53,0.5,92,86,96,91.33333333,,
54,0.5,86,84,88,86,,
55,0.5,84,88,78,83.33333333,,
56,0.5,84,80,90,84.66666667,,
57,0.5,90,93,100,94.33333333,,
58,0.5,97,98,107,100.6666667,,
59,0.5,88,97,81,88.66666667,,
60,0.5,109,87,101,99,,
61,0.5,97,93,95,95,,
62,0.5,78,86,88,84,,
63,0.5,82,84,100,88.66666667,,
64,0.5,104,112,117,111,,
65,0.5,100,80,89,89.66666667,,
66,0.5,89,89,88,88.66666667,,
67,0.5,79,90,96,88.33333333,,
68,0.5,103,115,103,107,,
69,0.5,98,115,109,107.3333333,,
70,0.5,108,113,122,114.3333333,,
71,0.5,105,113,104,107.3333333,,
72,0.5,92,113,102,102.3333333,,
73,0.5,120,120,125,121.6666667,,
74,0.5,104,104,99,102.3333333,,
75,0.5,119,111,124,118,,
76,0.5,115,105,101,107,,
77,0.5,116,116,112,114.6666667,,
78,0.5,109,107,114,110,,
79,0.5,136,125,135,132,,
80,0.5,101,115,136,117.3333333,,
81,0.5,124,131,109,121.3333333,,
82,0.5,126,113,123,120.6666667,,
83,0.5,124,112,127,121,,
84,0.5,116,111,122,116.3333333,,
85,0.5,132,136,130,132.6666667,,
86,0.5,123,128,126,125.6666667,,
87,0.5,128,136,134,132.6666667,,
88,0.5,124,135,123,127.3333333,,
89,0.5,117,112,114,114.3333333,,
90,0.5,126,129,134,129.6666667,,
91,0.5,144,127,135,135.3333333,,
92,0.5,133,128,132,131,,
93,0.5,143,125,143,137,,
94,0.5,138,135,133,135.3333333,,
95,0.5,132,120,136,129.3333333,,
96,0.5,139,137,128,134.6666667,,
97,0.5,159,121,138,139.3333333,,
98,0.5,147,139,138,141.3333333,,
99,0.5,134,136,129,133,,
100,0.5,138,139,146,141,,
101,0.5,172,151,154,159,,
102,0.5,156,147,146,149.6666667,,
103,0.5,149,166,160,158.3333333,,
104,0.5,159,151,159,156.3333333,,
105,0.5,161,167,153,160.3333333,,
106,0.5,162,153,161,158.6666667,,
107,0.5,159,159,140,152.6666667,,
108,0.5,141,148,155,148,,
109,0.5,140,140,150,143.3333333,,
110,0.5,151,160,169,160,,
111,0.5,153,150,146,149.6666667,,
112,0.5,169,155,150,158,,
113,0.5,145,147,154,148.6666667,,
114,0.5,168,169,160,165.6666667,,
115,0.5,173,160,154,162.3333333,,
116,0.5,173,179,185,179,,
117,0.5,193,165,182,180,,
118,0.5,170,179,168,172.3333333,,
119,0.5,158,162,179,166.3333333,,
120,0.5,170,173,180,174.3333333,,
